,Window_Length,RappMaxMean,RappMaxMedian,AsDec,KurtoSig,KurtoEnv,SkewSig,SkewEnv,CorPeakNumber,Energy1/3Cor,Energy2/3Cor,int_ratio,E_0.1_1,E_1_3,E_3_10,E_10_20,E_20_50,Kurt_0.1_1,Kurt_1_3,Kurt_3_10,Kurt_10_20,Kurt_20_50,RMSDecPhaseLine,MeanFFT,MaxFFT,FMaxFFT,MedianFFT,VarFFT,FCentroid,Fquart1,Fquart3,NPeakFFT,MeanPeaksFFT,E1FFT,E2FFT,E3FFT,E4FFT,Gamma1,Gamma2,Gamma,KurtoMaxDFT,KurtoMedianDFT,MaxOverMeanDFT,MaxOverMedianDFT,NbrPeaksMaxDFT,NbrPeaksMeanDFT,NbrPeaksMedianDFT,45/46,45/47,NbrPeaksCentralFreq,NbrPeaksMaxFreq,50/51,DistMaxMeanFreqDTF,DistMaxMedianFreqDTF,DistQ2Q1DFT,DistQ3Q2DFT,DistQ3Q1DFT,Peak_Envelope_Amplitude,Average_Envelope_Amplitude,Envelope_Area,Envelope_Velocity,Envelope_Rise_Time,serial_no,label
0,59.98,4.3611673083,4.82047282243,8.83278688525,0.853125079321,0.756166891791,0.0302344101577,0.876324376834,801.0,4.95480281352e-13,2.94373163079e-12,0.168317069454,0.0,-5.4597996413,-5.16597384493,-4.95479574062,0.0,3.95252516673e-323,3.92553709614,1.53015362317,1.39284851412,4.94065645841e-323,5.36089340989e-06,8.90540062317e-06,4.80253036425e-05,10.3333333333,7.46366816465e-06,4.88725453302e-11,13.0843495187,2.71202894636,15.406796495,4.0,1.25810588927e-05,3.0335270178e-05,7.50441047627e-05,7.14866885692e-05,4.53182569786e-05,12.4558924383,13.6183732946,,0.108356779038,-0.213654521952,15.7850336013,59.1195234324,4.0,3.0,1.0,1.33333333333,4.0,3.0,4.0,0.75,2.70224405811e-14,2.81416383543e-14,0.711426756795,3.21596987629,3.92739663308,1.06225870993e-06,2.43572106923e-07,1.46122165114e-05,2.43618147907e-07,53.88,0,1.0
0,59.98,4.95963429437,5.88814315634,0.753801169591,2.60899652144,4.55932358572,0.109209155574,1.7778803024,919.0,-5.69619523085e-12,3.32605047562e-11,-0.171260035667,0.0,-5.60677640617,-5.05255937176,-4.38146322978,0.0,0.0,3.25794076185,1.85208968962,2.25069876436,0.0,2.10390711856e-06,2.28367343074e-05,0.000230207854919,15.3,1.15432634172e-05,7.73784157184e-10,16.283577705,2.43143009972,15.5605592919,3.0,3.27833195653e-05,2.2840068752e-05,6.39433157971e-05,0.000313110598291,0.000169984521537,16.2668212789,16.5619688056,,-0.726457317338,-0.229279789352,15.8520691268,148.080704159,4.0,4.0,3.0,1.0,1.33333333333,4.0,4.0,1.0,2.23890980937e-13,2.38929622038e-13,-0.587081587759,0.309216610096,-0.277864977663,3.76240817833e-06,7.5860596871e-07,4.54898587526e-05,7.5841711825e-07,25.78,100,1.0
0,59.98,4.95963429437,5.88814315634,0.753801169591,2.60899652144,4.55932358572,0.109209155574,1.7778803024,919.0,-5.69619523085e-12,3.32605047562e-11,-0.171260035667,5.92878775009e-323,-5.60677640617,-5.05255937176,-4.38146322978,7.90505033346e-323,8.3991159793e-323,3.25794076185,1.85208968962,2.25069876436,1.03753785627e-322,2.10390711856e-06,2.28367343074e-05,0.000230207854919,15.3,1.15432634172e-05,7.73784157184e-10,16.283577705,2.43143009972,15.5605592919,3.0,3.27833195653e-05,2.2840068752e-05,6.39433157971e-05,0.000313110598291,0.000169984521537,16.2668212789,16.5619688056,,-0.726457317338,-0.229279789352,15.8520691268,148.080704159,4.0,4.0,3.0,1.0,1.33333333333,4.0,4.0,1.0,2.23890980937e-13,2.38929622038e-13,-0.587081587759,0.309216610096,-0.277864977663,3.76240817833e-06,7.5860596871e-07,4.54898587526e-05,7.5841711825e-07,25.78,101,1.0
0,59.98,4.65763041317,5.56391066003,0.626355748373,1.5471289228,1.44667666509,0.0695277579433,1.16040256076,918.0,3.83074751946e-11,3.59038307449e-11,1.06694674078,5.92878775009e-323,-5.62088928746,-4.88246467882,-4.2789873588,7.90505033346e-323,8.3991159793e-323,1.38776081957,1.13991879587,1.29941902463,1.03753785627e-322,2.25675790291e-06,3.01125058591e-05,0.000248926569479,15.3333333333,1.80506213554e-05,1.161057427e-09,16.0047987825,3.07935094024,15.3134564548,3.0,4.35797283174e-05,2.56393412003e-05,0.0001056604876,0.000404884702734,0.000215018320186,15.9690166741,16.2953005977,,-0.200665839701,2.51893568967,15.5155287174,145.874335328,2.0,4.0,3.0,0.5,0.666666666667,3.0,2.0,1.5,3.92670755367e-13,4.16266186303e-13,-0.786331921286,1.02582904128,0.23949711999,4.46421690516e-06,9.58473839518e-07,5.75040383557e-05,9.58720212665e-07,23.1,102,1.0
0,59.98,5.7951927934,7.57135038638,2.45109321059,2.80917749383,3.02824956436,0.0369330139798,1.56008542054,913.0,9.22097421716e-12,1.30699865351e-12,7.05507552926,5.92878775009e-323,-5.79075722232,-4.91347401005,-4.25748653849,7.90505033346e-323,8.3991159793e-323,1.26866440526,1.45004175506,1.66432206432,1.03753785627e-322,7.88067163819e-06,3.11191186041e-05,0.000328917533835,14.4,1.42613704035e-05,1.49231886339e-09,16.8158340302,2.9426634278,15.5350424897,2.0,4.66662094298e-05,1.41851013253e-05,7.72048193633e-05,0.000432277875128,0.000252259643716,16.5330341877,16.8520402385,,-0.853324890142,-1.07967965577,13.0497369161,93.714691867,3.0,3.0,3.0,1.0,1.0,5.0,3.0,1.66666666667,3.77139171579e-13,4.04972057786e-13,0.00196323187159,0.115825478568,0.117788710439,5.79538047205e-06,1.00003238523e-06,5.9987755273e-05,1.00012929765e-06,42.6,103,1.0
0,59.98,5.02865915316,5.94804605426,4.10034013605,1.53478426098,2.71517486676,0.0662631648117,1.36816239586,967.0,-4.41712908137e-13,1.72227202632e-11,-0.0256471046029,5.92878775009e-323,-5.79868918816,-4.94540392476,-4.29510014249,7.90505033346e-323,8.3991159793e-323,1.8796820987,0.56986801552,1.15169052222,1.03753785627e-322,1.07961347516e-05,2.81718530555e-05,0.000218969268863,14.4333333333,1.45107697728e-05,1.06540178736e-09,16.5728412571,3.18917283716,15.5961177157,5.0,4.1085477671e-05,1.68972991738e-05,8.04459337346e-05,0.000390114085813,0.000215362772371,16.6198451295,16.9257266222,,-1.41597823464,1.69002718612,12.9547980226,101.412266043,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.33333333333,2.81862803111e-13,3.02758710536e-13,0.120642192231,-0.022273282058,0.0983689101729,4.66439042328e-06,9.27561459469e-07,5.56426695881e-05,9.27687055486e-07,48.22,104,1.0
0,59.98,5.02865915316,5.94804605426,4.10034013605,1.53478426098,2.71517486676,0.0662631648117,1.36816239586,967.0,-4.41712908137e-13,1.72227202632e-11,-0.0256471046029,5.92878775009e-323,-5.79868918816,-4.94540392476,-4.29510014249,7.90505033346e-323,8.3991159793e-323,1.8796820987,0.56986801552,1.15169052222,1.03753785627e-322,1.07961347516e-05,2.81718530555e-05,0.000218969268863,14.4333333333,1.45107697728e-05,1.06540178736e-09,16.5728412571,3.18917283716,15.5961177157,5.0,4.1085477671e-05,1.68972991738e-05,8.04459337346e-05,0.000390114085813,0.000215362772371,16.6198451295,16.9257266222,,-1.41597823464,1.69002718612,12.9547980226,101.412266043,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.33333333333,2.81862803111e-13,3.02758710536e-13,0.120642192231,-0.022273282058,0.0983689101729,4.66439042328e-06,9.27561459469e-07,5.56426695881e-05,9.27687055486e-07,48.22,105,1.0
0,59.98,4.75340002276,5.76130182868,2.79620253165,2.27784491577,2.40094307642,-0.0226402993971,1.40108517728,911.0,-1.80729651953e-11,4.60133408814e-11,-0.392776634973,5.92878775009e-323,-5.66418614329,-5.01864479229,-4.36603289958,7.90505033346e-323,8.3991159793e-323,3.34812350429,1.54165898928,2.11662558076,1.03753785627e-322,6.0170173598e-06,2.45207001581e-05,0.000193947073005,14.4666666667,1.30508644437e-05,8.66885004165e-10,16.5002812201,2.36719798093,15.5562073252,7.0,3.55354152084e-05,1.81454157058e-05,6.2288734108e-05,0.000346047464952,0.00018502107833,16.4095638331,16.7219556227,,-0.809710075692,0.708087929745,13.4868027366,109.832980378,4.0,5.0,2.0,0.8,2.0,4.0,4.0,1.0,2.44070869251e-13,2.61263478258e-13,0.276824812288,0.173221624501,0.450046436789,3.74315817982e-06,7.87469634768e-07,4.72404523963e-05,7.8760340774e-07,44.18,106,1.0
0,59.98,4.9349471236,6.57749317953,3.88436482085,2.73363564904,2.4366857401,-0.0477087732775,1.51304666121,950.0,6.66930495449e-11,2.06960807817e-11,3.22249658031,5.92878775009e-323,-5.57570626217,-4.97576794622,-4.30330539378,7.90505033346e-323,8.3991159793e-323,1.1585388432,2.14065258716,2.74718751571,1.03753785627e-322,9.87021699654e-06,2.7538351027e-05,0.000277624458497,15.6166666667,1.18434147779e-05,1.31238050282e-09,16.3669585168,2.53785584185,15.6197978792,4.0,4.06700495901e-05,2.10992515469e-05,8.00258791267e-05,0.000394065542707,0.000191518456096,16.3607620876,16.6593167823,,0.136633552789,1.34526451826,17.8193617656,222.334130328,3.0,3.0,4.0,1.0,0.75,3.0,3.0,1.0,4.53334625974e-13,4.77071743602e-13,0.0977783706738,0.120440359789,0.218218730463,4.49786972211e-06,9.11432201694e-07,5.46668888099e-05,9.11418619706e-07,47.7,107,1.0
0,59.98,6.00059033812,6.92909852283,3.32756132756,2.47610027123,4.90904939035,0.0233067891417,1.61642457472,1073.0,7.55077249055e-12,3.10672116108e-12,2.43046353343,0.0,-5.82488668695,-5.27138727619,-4.59557544579,0.0,0.0,3.70412592286,1.02494108162,2.02798960874,0.0,5.59723768798e-06,1.59498174433e-05,8.79003546489e-05,15.8333333333,8.18251716518e-06,3.03376226318e-10,16.9742145342,2.89364875687,15.6286629458,26.0,2.34176848708e-05,1.44480944872e-05,3.76652655894e-05,0.000196555993407,0.00014944553358,17.6287252869,18.0098641595,,1.63175414458,5.57763785289,10.9113649577,76.4794183092,4.0,3.0,4.0,1.33333333333,1.0,2.0,4.0,0.5,7.88063979626e-14,8.51701888445e-14,-0.0371137991317,0.920981692959,0.883867893827,3.05549888381e-06,5.09199713968e-07,3.05459832269e-05,5.0926947694e-07,46.12,108,1.0
