time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-16T05:20:45.434Z,61.2777,-147.6583,0,1.4,ml,,,,0.55,ak,ak02225tcv1y,2022-03-15T20:18:14.691Z,"59 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-14T18:24:47.707Z,61.2463,-147.6709,0,1.1,ml,,,,0.26,ak,ak02222q1nek,2022-03-22T17:33:00.149Z,"62 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-14T03:31:37.641Z,61.177,-147.769,0,1.3,ml,,,,0.58,ak,ak02222h5o15,2022-03-22T17:31:11.743Z,"66 km NE of Whittier, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-12T23:58:22.683Z,61.2594,-147.7467,0,1.1,ml,,,,0.42,ak,ak0221zi5dfg,2022-03-04T00:42:54.960Z,"61 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-10T02:43:36.270Z,61.2206,-147.609,0,1.6,ml,,,,0.32,ak,ak0221vuhe1n,2022-02-28T23:50:54.621Z,"64 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-09T18:51:32.970Z,61.3124,-147.7119,0,1.4,ml,,,,0.67,ak,ak0221ugiopd,2022-03-01T01:07:22.956Z,"55 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-05T23:07:53.419Z,60.9994,-147.5163,0,1.6,ml,,,,0.51,ak,ak0221nx32tp,2022-02-26T04:12:49.028Z,"47 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-03T06:18:23.123Z,61.3247,-147.7111,0,1.4,ml,,,,0.35,ak,ak0221kbyb3c,2022-02-23T19:47:59.607Z,"53 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-02-02T13:39:16.916Z,61.2611,-147.6607,0,1.2,ml,,,,0.47,ak,ak0221isphe3,2022-02-23T18:26:44.238Z,"60 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-31T05:53:01.735Z,61.1426,-147.1663,0,1,ml,,,,0.78,ak,ak0221fcyarl,2022-02-25T00:15:03.010Z,"40 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-30T23:22:24.112Z,61.2128,-147.6546,0,1.3,ml,,,,0.49,ak,ak0221dzy5c8,2022-02-25T00:07:24.736Z,"65 km NW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-30T11:56:20.698Z,61.1948,-146.9041,0,1.7,ml,,,,0.32,ak,ak0221dt085x,2022-02-25T00:07:31.276Z,"30 km WNW of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-28T00:48:16.111Z,61.1358,-146.9326,0,1.5,ml,,,,0.75,ak,ak0221abc1fv,2022-02-24T22:29:37.917Z,"31 km W of Valdez, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-27T03:44:01.426Z,61.1191,-147.501,0,1.2,ml,,,,0.24,ak,ak02218pk3ri,2022-02-19T19:31:13.416Z,"52 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
2022-01-26T20:26:40.209Z,61.1902,-147.7077,0,0.8,ml,,,,0.64,ak,ak02217c1cvs,2022-02-17T18:18:41.110Z,"66 km WNW of Tatitlek, Alaska",ice quake,,0,,,reviewed,ak,ak
