,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,No_of_stations
718,2021-05-09T17:26:51.571Z,61.1632,-146.6186,43.4,1.5,ml,,,,1.2,ak,ak0215xmltl1,2021-06-02T21:13:41.740Z,"14 km WNW of Valdez, Alaska",earthquake,,3.8,,,automatic,ak,ak,8
722,2021-05-06T12:33:52.148Z,61.1653,-147.2322,61.1,1.7,ml,,,,1.29,ak,ak0215sl244t,2021-06-02T21:13:04.913Z,"44 km NW of Tatitlek, Alaska",earthquake,,1.9,,,automatic,ak,ak,9
735,2021-05-02T03:30:56.947Z,61.2483,-147.6209,0.0,1.5,ml,,,,1.02,ak,ak0215ltj6xq,2021-05-20T21:25:49.578Z,"62 km S of Glacier View, Alaska",earthquake,,0.5,,,automatic,ak,ak,7
736,2021-05-02T01:57:59.398Z,61.1633,-147.4541,49.1,1.3,ml,,,,0.9,ak,ak0215lsi3xd,2021-05-20T21:25:48.157Z,"53 km NW of Tatitlek, Alaska",earthquake,,2.7,,,automatic,ak,ak,7
831,2021-03-17T06:17:02.403Z,61.1944,-147.0363,20.6,0.9,ml,,,,0.62,ak,ak0213hsimio,2021-04-05T17:34:08.533Z,"37 km W of Valdez, Alaska",earthquake,,2.3,,,reviewed,ak,ak,5
861,2021-03-01T03:50:29.491Z,61.2131,-147.594,8.6,1.2,ml,,,,0.59,ak,ak0212rabwit,2021-03-20T23:18:57.742Z,"62 km NW of Tatitlek, Alaska",earthquake,,1.1,,,reviewed,ak,ak,8
883,2021-02-16T02:29:55.941Z,61.2525,-147.3818,27.8,1.8,ml,,,,0.97,ak,ak02125rmii2,2021-02-16T02:34:32.732Z,"57 km WNW of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak,11
892,2021-02-06T17:26:26.207Z,61.1705,-146.8837,1.3,1.5,ml,,,,0.69,ak,ak0211ph5u94,2021-02-18T04:38:55.843Z,"29 km W of Valdez, Alaska",earthquake,,0.9,,,reviewed,ak,ak,8
893,2021-02-06T02:45:25.774Z,61.1698,-146.8848,2.0,1.4,ml,,,,0.78,ak,ak0211p8ceqw,2021-02-18T04:38:44.825Z,"29 km W of Valdez, Alaska",earthquake,,0.3,,,reviewed,ak,ak,6
1025,2020-11-13T20:41:00.108Z,61.2411,-147.6678,0.0,1.5,ml,,,,0.72,ak,ak020em91tsk,2020-12-04T23:15:06.874Z,"63 km S of Glacier View, Alaska",earthquake,,0.0,,,reviewed,ak,ak,11
1028,2020-11-12T07:59:23.077Z,61.4393,-146.6314,14.2,1.0,ml,,,,0.72,ak,ak020ekdvqsz,2020-12-01T01:07:21.125Z,"37 km NNW of Valdez, Alaska",earthquake,,0.9,,,reviewed,ak,ak,3
1047,2020-11-03T07:36:13.558Z,61.0142,-147.6165,23.1,1.2,ml,,,,0.51,ak,ak020e5hwo5n,2020-11-26T00:47:24.268Z,"53 km WNW of Tatitlek, Alaska",earthquake,,0.3,,,reviewed,ak,ak,3
1048,2020-11-02T01:44:25.415Z,61.4344,-146.8346,7.0,1.0,ml,,,,0.32,ak,ak020e3qugod,2020-11-19T00:55:51.384Z,"42.7 km SE of Valdez, AK",earthquake,,0.3,,,reviewed,ak,ak,3
1155,2020-09-19T08:06:59.174Z,61.2237,-146.308,19.3,1.0,ml,,,,0.6,ak,ak020c3355kt,2020-10-03T18:14:13.903Z,"10 km NNE of Valdez, Alaska",earthquake,,0.3,,,reviewed,ak,ak,3
1157,2020-09-19T07:37:04.488Z,61.2011,-146.2875,14.7,1.0,ml,,,,0.61,ak,ak020c32q8y8,2020-10-03T18:14:12.954Z,"8 km NNE of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak,4
1189,2020-09-06T17:30:54.621Z,61.5233,-146.3448,30.5,1.1,ml,,,,0.55,ak,ak020bhqnnor,2020-09-18T22:49:33.520Z,"43 km N of Valdez, Alaska",earthquake,,0.8,,,reviewed,ak,ak,4
1204,2020-08-25T12:18:26.136Z,61.1552,-147.4805,0.5,1.4,ml,,,,0.74,ak,ak020axt5ptd,2020-09-19T18:22:59.990Z,"54 km NW of Tatitlek, Alaska",earthquake,,0.3,,,reviewed,ak,ak,11
1209,2020-08-22T14:34:35.259Z,61.2312,-147.5259,28.2,1.0,ml,,,,0.66,ak,ak020asvtzl1,2020-08-22T22:37:14.917Z,"61 km NW of Tatitlek, Alaska",earthquake,,0.6,,,automatic,ak,ak,10
1265,2020-07-29T06:30:31.701Z,61.2677,-147.212,7.3,1.0,ml,,,,0.6,ak,ak0209p25bsf,2020-08-10T16:13:11.848Z,"48 km WNW of Valdez, Alaska",earthquake,,0.5,,,reviewed,ak,ak,8
1267,2020-07-28T17:36:05.915Z,61.0128,-146.1413,3.3,1.1,ml,,,,0.64,ak,ak0209nl6ywx,2020-08-12T12:10:17.886Z,Southern Alaska,earthquake,,0.8,,,reviewed,ak,ak,3
1333,2020-07-05T19:53:21.996Z,61.1781,-146.946,7.3,1.6,ml,,,,0.49,ak,ak0208ll4jig,2020-07-10T23:20:37.747Z,"32 km W of Valdez, Alaska",earthquake,,0.4,,,reviewed,ak,ak,5
1402,2020-06-06T08:19:15.194Z,61.2231,-147.4188,6.9,1.0,ml,,,,0.8,ak,ak02079fsdpc,2020-06-12T02:32:02.770Z,"56 km NW of Tatitlek, Alaska",earthquake,,0.5,,,reviewed,ak,ak,8
1471,2020-04-29T14:38:13.997Z,61.2599,-147.6556,9.0,1.3,ml,,,,0.63,ak,ak0205ip1qos,2020-05-13T06:19:47.729Z,"61 km S of Glacier View, Alaska",earthquake,,0.7,,,reviewed,ak,ak,8
1556,2020-03-25T00:47:43.965Z,61.161,-147.2135,9.4,1.0,ml,,,,0.44,ak,ak0203wkynzh,2020-04-11T06:17:04.360Z,"43 km NW of Tatitlek, Alaska",earthquake,,0.4,,,reviewed,ak,ak,3
1610,2020-02-28T06:46:29.251Z,61.1972,-147.7369,16.8,1.6,ml,,,,0.5,ak,ak0202pojzu9,2020-03-17T11:12:44.695Z,"68 km WNW of Tatitlek, Alaska",earthquake,,0.8,,,reviewed,ak,ak,5
1699,2020-01-04T11:45:33.892Z,61.4594,-147.2781,12.0,1.5,ml,,,,0.8,ak,ak0206syvk9,2020-01-10T23:19:23.431Z,"43 km SSE of Glacier View, Alaska",earthquake,,0.3,,,reviewed,ak,ak,4
1769,2019-11-24T09:31:26.968Z,61.1862,-146.8928,0.0,1.3,ml,,,,0.63,ak,ak019f2ltfpp,2019-11-24T22:35:33.980Z,"29 km WNW of Valdez, Alaska",earthquake,,0.0,,,reviewed,ak,ak,7
1859,2019-10-13T06:47:33.227Z,61.2211,-147.5642,56.0,1.4,ml,,,,1.26,ak,ak019d53k0go,2019-11-08T01:25:17.758Z,"62 km NW of Tatitlek, Alaska",earthquake,,1.4,,,automatic,ak,ak,9
1965,2019-08-21T04:26:19.952Z,61.2682,-146.8414,15.0,0.8,ml,,,,0.42,ak,ak019aper7in,2019-09-18T18:17:56.789Z,"30 km WNW of Valdez, Alaska",earthquake,,0.8,,,reviewed,ak,ak,3
